Type,sizing_constant,sizing_constant_unit,usage_constant_1,usage_constant_1_unit,usage_constant_2,usage_constant_2_unit,lifespan,lifespan_units,CO2_emissions_factor,CO2_emissions_factor_unit,location_name
0,1.214,G$/GWp,7.51E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.0004057,MtCO2e/GWh,SG
1,1.04,G$/GWp,5.38E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.000651,MtCO2e/GWh,ID
2,1.04,G$/GWp,5.38E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.0007251,MtCO2e/GWh,MY
3,1.04,G$/GWp,5.38E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.000753,MtCO2e/GWh,BN
4,1.04,G$/GWp,5.38E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.000516,MtCO2e/GWh,KH
5,1.04,G$/GWp,5.38E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.000433,MtCO2e/GWh,MM
6,1.04,G$/GWp,5.38E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.000746,MtCO2e/GWh,PH
7,1.04,G$/GWp,5.38E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.000529,MtCO2e/GWh,TH
8,1.04,G$/GWp,5.38E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.0009239,MtCO2e/GWh,VN
9,1.04,G$/GWp,5.38E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.0005595,MtCO2e/GWh,LA
10,1.725171969,G$/GWp,1.25E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.00059512,MtCO2e/GWh,AU
11,0.625,G$/GWp,6.28E-06,G$/GWh,0,G$/(GWh^2),219000,h,0.00059495,MtCO2e/GWh,SA
12,1.196315529,G$/GWp,9.75E-06,G$/GWh,0,G$/(GWh^2),219000,h,0.00093355,MtCO2e/GWh,IN
13,1.04,G$/GWp,5.38E-05,G$/GWh,0,G$/(GWh^2),219000,h,0.000413675,MtCO2e/GWh,AE
14,1.235,G$/GWp,8.24E-05,G$/GWh,0,G$/(GWh^2),262800,h,0.000773844,MtCO2e/GWh,MA
15,1.235,G$/GWp,8.24E-05,G$/GWh,0,G$/(GWh^2),262800,h,0.000062505,MtCO2e/GWh,KE
16,1.235,G$/GWp,8.24E-05,G$/GWh,0,G$/(GWh^2),262800,h,0.000773467,MtCO2e/GWh,ZA
17,1.04,G$/GWp,7.00E-05,G$/GWh,0,G$/(GWh^2),262800,h,0.000487551,MtCO2e/GWh,KR
18,1.235,G$/GWp,8.24E-05,G$/GWh,0,G$/(GWh^2),262800,h,0.000472777,MtCO2e/GWh,EG
19,1.235,G$/GWp,8.24E-05,G$/GWh,0,G$/(GWh^2),262800,h,0.000400333,MtCO2e/GWh,NG
20,1.28,G$/GWp,6.32E-05,G$/GWh,0,G$/(GWh^2),262800,h,0.000074096,MtCO2e/GWh,BR
21,1.28,G$/GWp,6.32E-05,G$/GWh,0,G$/(GWh^2),262800,h,0.000176893,MtCO2e/GWh,CO
22,1.28,G$/GWp,6.32E-05,G$/GWh,0,G$/(GWh^2),262800,h,0.000200661,MtCO2e/GWh,PE
23,1.28,G$/GWp,6.32E-05,G$/GWh,0,G$/(GWh^2),262800,h,0.000361503,MtCO2e/GWh,CL
24,1.291540433,G$/GWp,6.81E-06,G$/GWh,0,G$/(GWh^2),262800,h,0.00007055,MtCO2e/GWh,FR
25,1.610139343,G$/GWp,1.10E-05,G$/GWh,0,G$/(GWh^2),262800,h,0.00037995,MtCO2e/GWh,DE
26,1.188430569,G$/GWp,7.92E-06,G$/GWh,0,G$/(GWh^2),262800,h,0.00037459,MtCO2e/GWh,US
27,1.054680174,G$/GWp,7.88E-06,G$/GWh,0,G$/(GWh^2),262800,h,0.00046408,MtCO2e/GWh,RU
28,0.732635541,G$/GWp,5.67E-06,G$/GWh,0,G$/(GWh^2),262800,h,0.0006608,MtCO2e/GWh,CN
29,0.603405165,G$/GWp,5.13E-06,G$/GWh,0,G$/(GWh^2),262800,h,0.00042385,MtCO2e/GWh,TR
30,1.52195951,G$/GWp,1.02E-05,G$/GWh,0,G$/(GWh^2),262800,h,0.00045773,MtCO2e/GWh,JP