region,scenario,group,2022,2030,2040,2050
BRN,high,0,13178.26753,6462.437975,6058.535602,5654.633228
BRN,high,1,13673.75135,6705.416307,6286.327788,5867.239268
BRN,high,2,14347.0446,7035.589891,6595.865523,6156.141155
BRN,high,3,14928.37486,7320.666114,6863.124482,6405.58285
BRN,high,4,17039.59253,8355.977716,7833.729109,7311.480502
BRN,high,5,17453.17368,8558.792125,8023.867617,7488.943109
BRN,high,6,18038.1625,8845.662453,8292.808549,7739.954646
BRN,high,7,18683.40769,9162.081666,8589.451562,8016.821458
BRN,high,8,19311.37021,9470.025699,8878.149093,8286.272486
BRN,high,9,21175.28195,10384.06193,9735.05806,9086.05419
BRN,low,0,3541.766567,3447.469431,3143.683221,2839.889264
BRN,low,1,3674.931873,3577.089301,3261.881168,2946.664998
BRN,low,2,3855.884908,3753.224584,3422.495655,3091.758293
BRN,low,3,4012.122142,3905.302107,3561.172319,3217.033755
BRN,low,4,4579.529061,4457.602201,4064.804497,3671.996776
BRN,low,5,4690.682359,4565.796117,4163.464516,3761.122654
BRN,low,6,4847.902859,4718.830729,4303.01393,3887.186528
BRN,low,7,5021.317753,4887.628568,4456.937539,4026.235526
BRN,low,8,5190.087787,5051.905215,4606.738356,4161.560145
BRN,low,9,5691.029225,5539.509426,5051.375562,4563.229251
BRN,medium,0,5479.35484,4968.411827,4615.072384,4259.833896
BRN,medium,1,5685.370666,5155.216934,4788.592438,4419.997497
BRN,medium,2,5965.317372,5409.058959,5024.381934,4637.637439
BRN,medium,3,6207.027047,5628.229508,5227.965691,4825.550632
BRN,medium,4,7084.844314,6424.191408,5967.321025,5507.995164
BRN,medium,5,7256.806059,6580.117934,6112.158496,5641.683982
BRN,medium,6,7500.036914,6800.667816,6317.023492,5830.779792
BRN,medium,7,7768.321602,7043.93529,6542.990469,6039.35329
BRN,medium,8,8029.420374,7280.686928,6762.904998,6242.340217
BRN,medium,9,8804.411,7983.410643,7415.652983,6844.843876