Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,3,3,1125
1,RE_PV_Openfield_Lim,3,3,3
2,RE_PV_Rooftop_Lim,3,3,3
3,RE_WIND_Onshore_Lim_0,3,3,3
4,RE_WIND_Onshore_Lim_1,3,3,3
5,RE_WIND_Onshore_Lim_2,3,3,3
6,RE_WIND_Onshore_Lim_3,3,3,3
7,RE_WIND_Onshore_Lim_4,3,3,3
8,RE_WIND_Onshore_Lim_5,3,3,3
9,RE_WIND_Onshore_Lim_6,3,3,3
10,RE_WIND_Onshore_Lim_7,3,3,3
11,RE_WIND_Onshore_Lim_8,3,3,3
12,RE_WIND_Onshore_Lim_9,3,3,3
13,RE_WIND_Offshore_Lim_0,3,3,3
14,RE_WIND_Offshore_Lim_1,3,3,3
15,RE_WIND_Offshore_Lim_2,3,3,3
16,RE_WIND_Offshore_Lim_3,3,3,3
17,RE_WIND_Offshore_Lim_4,3,3,3
18,RE_WIND_Offshore_Lim_5,3,3,3
19,RE_WIND_Offshore_Lim_6,3,3,3
20,RE_WIND_Offshore_Lim_7,3,3,3
21,RE_WIND_Offshore_Lim_8,3,3,3
22,RE_WIND_Offshore_Lim_9,3,3,3
23,HYDRO,3,3,3
24,PP_CO2,3,3,3
25,BESS,3,3,3
26,EL_to_HTH,3,3,3
27,EL_to_NH3,3,3,3
28,NH3_Storage,3,3,3
29,NH3_to_EL,3,3,3
30,NH3_to_HTH,3,3,3
31,FF_to_HTH,3,3,3
32,EL_Demand,3,3,3
33,HTH_Demand,3,3,3
34,RE_PV_Openfield_Lim,4,4,4
35,RE_PV_Rooftop_Lim,4,4,4
36,RE_WIND_Onshore_Lim_0,4,4,4
37,RE_WIND_Onshore_Lim_1,4,4,4
38,RE_WIND_Onshore_Lim_2,4,4,4
39,RE_WIND_Onshore_Lim_3,4,4,4
40,RE_WIND_Onshore_Lim_4,4,4,4
41,RE_WIND_Onshore_Lim_5,4,4,4
42,RE_WIND_Onshore_Lim_6,4,4,4
43,RE_WIND_Onshore_Lim_7,4,4,4
44,RE_WIND_Onshore_Lim_8,4,4,4
45,RE_WIND_Onshore_Lim_9,4,4,4
46,RE_WIND_Offshore_Lim_0,4,4,4
47,RE_WIND_Offshore_Lim_1,4,4,4
48,RE_WIND_Offshore_Lim_2,4,4,4
49,RE_WIND_Offshore_Lim_3,4,4,4
50,RE_WIND_Offshore_Lim_4,4,4,4
51,RE_WIND_Offshore_Lim_5,4,4,4
52,RE_WIND_Offshore_Lim_6,4,4,4
53,RE_WIND_Offshore_Lim_7,4,4,4
54,RE_WIND_Offshore_Lim_8,4,4,4
55,RE_WIND_Offshore_Lim_9,4,4,4
56,HYDRO,4,4,4
57,PP_CO2,4,4,4
58,BESS,4,4,4
59,EL_to_HTH,4,4,4
60,EL_to_NH3,4,4,4
61,NH3_Storage,4,4,4
62,NH3_to_EL,4,4,4
63,NH3_to_HTH,4,4,4
64,FF_to_HTH,4,4,4
65,EL_Demand,4,4,4
66,HTH_Demand,4,4,4
67,EL_Transport,3,4,0
68,NH3_Transport,3,4,0
