Asset_Number,Asset_Class,Location_1,Location_2,Asset_Type
0,CO2_Budget,20,20,613
1,RE_PV_Openfield_Lim,20,20,20
2,RE_PV_Rooftop_Lim,20,20,20
3,RE_WIND_Onshore_Lim_0,20,20,20
4,RE_WIND_Onshore_Lim_1,20,20,20
5,RE_WIND_Onshore_Lim_2,20,20,20
6,RE_WIND_Onshore_Lim_3,20,20,20
7,RE_WIND_Onshore_Lim_4,20,20,20
8,RE_WIND_Onshore_Lim_5,20,20,20
9,RE_WIND_Onshore_Lim_6,20,20,20
10,RE_WIND_Onshore_Lim_7,20,20,20
11,RE_WIND_Onshore_Lim_8,20,20,20
12,RE_WIND_Onshore_Lim_9,20,20,20
13,RE_WIND_Offshore_Lim_0,20,20,20
14,RE_WIND_Offshore_Lim_1,20,20,20
15,RE_WIND_Offshore_Lim_2,20,20,20
16,RE_WIND_Offshore_Lim_3,20,20,20
17,RE_WIND_Offshore_Lim_4,20,20,20
18,RE_WIND_Offshore_Lim_5,20,20,20
19,HYDRO,20,20,20
20,PP_CO2,20,20,20
21,BESS,20,20,20
22,EL_to_HTH,20,20,20
23,EL_to_NH3,20,20,20
24,NH3_Storage,20,20,20
25,NH3_to_EL,20,20,20
26,NH3_to_HTH,20,20,20
27,FF_to_HTH,20,20,20
28,EL_Demand,20,20,20
29,HTH_Demand,20,20,20
30,RE_PV_Openfield_Lim,23,23,23
31,RE_PV_Rooftop_Lim,23,23,23
32,RE_WIND_Onshore_Lim_0,23,23,23
33,RE_WIND_Onshore_Lim_1,23,23,23
34,RE_WIND_Onshore_Lim_2,23,23,23
35,RE_WIND_Onshore_Lim_3,23,23,23
36,RE_WIND_Onshore_Lim_4,23,23,23
37,RE_WIND_Onshore_Lim_5,23,23,23
38,RE_WIND_Onshore_Lim_6,23,23,23
39,RE_WIND_Onshore_Lim_7,23,23,23
40,RE_WIND_Onshore_Lim_8,23,23,23
41,RE_WIND_Onshore_Lim_9,23,23,23
42,RE_WIND_Offshore_Lim_0,23,23,23
43,RE_WIND_Offshore_Lim_1,23,23,23
44,RE_WIND_Offshore_Lim_2,23,23,23
45,RE_WIND_Offshore_Lim_3,23,23,23
46,RE_WIND_Offshore_Lim_4,23,23,23
47,RE_WIND_Offshore_Lim_5,23,23,23
48,RE_WIND_Offshore_Lim_6,23,23,23
49,RE_WIND_Offshore_Lim_7,23,23,23
50,RE_WIND_Offshore_Lim_8,23,23,23
51,RE_WIND_Offshore_Lim_9,23,23,23
52,HYDRO,23,23,23
53,PP_CO2,23,23,23
54,BESS,23,23,23
55,EL_to_HTH,23,23,23
56,EL_to_NH3,23,23,23
57,NH3_Storage,23,23,23
58,NH3_to_EL,23,23,23
59,NH3_to_HTH,23,23,23
60,FF_to_HTH,23,23,23
61,EL_Demand,23,23,23
62,HTH_Demand,23,23,23
63,RE_PV_Openfield_Lim,22,22,22
64,RE_PV_Rooftop_Lim,22,22,22
65,RE_WIND_Onshore_Lim_0,22,22,22
66,RE_WIND_Onshore_Lim_1,22,22,22
67,RE_WIND_Onshore_Lim_2,22,22,22
68,RE_WIND_Onshore_Lim_3,22,22,22
69,RE_WIND_Onshore_Lim_4,22,22,22
70,RE_WIND_Onshore_Lim_5,22,22,22
71,RE_WIND_Onshore_Lim_6,22,22,22
72,RE_WIND_Onshore_Lim_7,22,22,22
73,RE_WIND_Onshore_Lim_8,22,22,22
74,RE_WIND_Onshore_Lim_9,22,22,22
75,RE_WIND_Offshore_Lim_0,22,22,22
76,RE_WIND_Offshore_Lim_1,22,22,22
77,RE_WIND_Offshore_Lim_2,22,22,22
78,RE_WIND_Offshore_Lim_3,22,22,22
79,RE_WIND_Offshore_Lim_4,22,22,22
80,RE_WIND_Offshore_Lim_5,22,22,22
81,RE_WIND_Offshore_Lim_6,22,22,22
82,RE_WIND_Offshore_Lim_7,22,22,22
83,RE_WIND_Offshore_Lim_8,22,22,22
84,RE_WIND_Offshore_Lim_9,22,22,22
85,HYDRO,22,22,22
86,PP_CO2,22,22,22
87,BESS,22,22,22
88,EL_to_HTH,22,22,22
89,EL_to_NH3,22,22,22
90,NH3_Storage,22,22,22
91,NH3_to_EL,22,22,22
92,NH3_to_HTH,22,22,22
93,FF_to_HTH,22,22,22
94,EL_Demand,22,22,22
95,HTH_Demand,22,22,22
96,EL_Transport,20,23,0
97,NH3_Transport,20,23,0
98,EL_Transport,20,22,0
99,NH3_Transport,20,22,0
100,EL_Transport,23,22,0
101,NH3_Transport,23,22,0
