Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,maximum_size,maximum_size_unit,interest_rate,existing_capacity,existing_capacity_unit,existing_capacity_decay_rate,location_name
0,100,G$/GWp,262800,h,WINDOUT,24,0,0,GWp,0.02,0.1,GWp,0.005,SGP
1,2.104616376,G$/GWp,262800,h,WINDOUT,24,0,0.045525606,GWp,0.02,0.1,GWp,0.005,IDN
2,2.532347338,G$/GWp,262800,h,WINDOUT,24,0,0,GWp,0.02,0.1,GWp,0.005,MYS
3,2.546930602,G$/GWp,262800,h,WINDOUT,24,0,0,GWp,0.02,0.1,GWp,0.005,BRN
4,1.495385729,G$/GWp,262800,h,WINDOUT,24,0,0,GWp,0.02,0.1,GWp,0.005,KHM
5,1.422011554,G$/GWp,219000,h,WINDOUT,24,0,0,GWp,0.02,0.1,GWp,0.005,MMR
6,1.651085826,G$/GWp,262800,h,WINDOUT,24,0,0.105405798,GWp,0.02,0.1,GWp,0.005,PHL
7,1.614201567,G$/GWp,262800,h,WINDOUT,24,0,0.26948837,GWp,0.02,0.1,GWp,0.005,THA
8,1.474467537,G$/GWp,262800,h,WINDOUT,24,0,0.85030303,GWp,0.02,0.1,GWp,0.005,VNM
9,1.921127379,G$/GWp,262800,h,WINDOUT,24,0,0,GWp,0.02,0.1,GWp,0.005,LAO
10,1.278948361,G$/GWp,219000,h,WINDOUT,24,0,0.679271778,GWp,0.02,0.1,GWp,0.005,AUS
11,1.422011554,G$/GWp,219000,h,WINDOUT,24,0,0.000225211,GWp,0.02,0.1,GWp,0.005,SAU
12,1.112548261,G$/GWp,219000,h,WINDOUT,24,0,6.753086992,GWp,0.02,0.1,GWp,0.005,IND
13,1.446743332,G$/GWp,262800,h,WINDOUT,24,0,1000,GWp,0.02,0.1,GWp,0.005,ARE
14,1.468929644,G$/GWp,219000,h,WINDOUT,24,0,0.539121074,GWp,0.02,0.1,GWp,0.005,MAR
15,1.412306848,G$/GWp,219000,h,WINDOUT,24,0,0.254428412,GWp,0.02,0.1,GWp,0.005,KEN
16,1.480256869,G$/GWp,219000,h,WINDOUT,24,0,0.527343847,GWp,0.02,0.1,GWp,0.005,ZAF
17,1.534097811,G$/GWp,262800,h,WINDOUT,24,0,0.232726534,GWp,0.02,0.1,GWp,0.005,KOR
18,1.328822723,G$/GWp,219000,h,WINDOUT,24,0,0.532271104,GWp,0.02,0.1,GWp,0.005,EGY
19,1.412306848,G$/GWp,219000,h,WINDOUT,24,0,0.000634834,GWp,0.02,0.1,GWp,0.005,NGA
20,1.054285569,G$/GWp,262800,h,WINDOUT,24,0,6.257119411,GWp,0.02,0.1,GWp,0.005,BRA
21,1.415276988,G$/GWp,262800,h,WINDOUT,24,0,0.004028859,GWp,0.02,0.1,GWp,0.005,COL
22,1.415276988,G$/GWp,262800,h,WINDOUT,24,0,0.158148649,GWp,0.02,0.1,GWp,0.005,PER
23,1.239901474,G$/GWp,262800,h,WINDOUT,24,0,0.938607143,GWp,0.02,0.1,GWp,0.005,CHL
24,1.477105269,G$/GWp,219000,h,WINDOUT,24,0,1.411570806,GWp,0.02,0.1,GWp,0.005,FRA
25,1.471846359,G$/GWp,219000,h,WINDOUT,24,0,46.53310587,GWp,0.02,0.1,GWp,0.005,DEU
26,1.191193572,G$/GWp,219000,h,WINDOUT,24,0,9.959373393,GWp,0.02,0.1,GWp,0.005,USA
27,1.395707941,G$/GWp,219000,h,WINDOUT,24,0,0.001979373,GWp,0.02,0.1,GWp,0.005,RUS
28,1.09684,G$/GWp,219000,h,WINDOUT,24,0,25.99360412,GWp,0.02,0.1,GWp,0.005,CHN
29,1.402462151,G$/GWp,219000,h,WINDOUT,24,0,1.106599308,GWp,0.02,0.1,GWp,0.005,TUR
30,1.280747716,G$/GWp,219000,h,WINDOUT,24,0,0.368258014,GWp,0.02,0.1,GWp,0.005,JPN