region,scenario,group,2021,2030,2040,2050
IDN,high,0,2706.691358,1795.209895,1577.277742,1359.65956
IDN,high,1,3453.902813,2290.797023,2012.70234,1735.008303
IDN,high,2,3759.388728,2493.4102,2190.718992,1888.463865
IDN,high,3,3799.105506,2519.752308,2213.86326,1908.414901
IDN,high,4,3847.082773,2551.573174,2241.821185,1932.515451
IDN,high,5,4189.686245,2778.804528,2441.467454,2104.616376
IDN,high,6,4746.833051,3148.331499,2766.135153,2384.489431
IDN,high,7,4964.417443,3292.644094,2892.928708,2493.789185
IDN,high,8,5064.301918,3358.892356,2951.134664,2543.964423
IDN,high,9,5077.500742,3367.646461,2958.826052,2550.594623
IDN,low,0,1475.506085,1112.820169,1003.745931,892.1956544
IDN,low,1,1882.835516,1420.026225,1280.840864,1138.495925
IDN,low,2,2049.365891,1545.622698,1394.126866,1239.192003
IDN,low,3,2071.016807,1561.951723,1408.855385,1252.283683
IDN,low,4,2097.170786,1581.676939,1426.647213,1268.098234
IDN,low,5,2283.935157,1722.533802,1553.697842,1381.029222
IDN,low,6,2587.654123,1951.597304,1760.309445,1564.679256
IDN,low,7,2706.2665,2041.054234,1840.99816,1636.400713
IDN,low,8,2760.716798,2082.120408,1878.03919,1669.325226
IDN,low,9,2767.911909,2087.54693,1882.933825,1673.675901
IDN,medium,0,1850.370862,1496.008246,1314.398119,1133.049634
IDN,medium,1,2361.185773,1908.99752,1677.25195,1445.840253
IDN,medium,2,2570.024595,2077.841835,1825.59916,1573.719888
IDN,medium,3,2597.176109,2099.793591,1844.886051,1590.345752
IDN,medium,4,2629.974727,2126.310979,1868.184322,1610.429543
IDN,medium,5,2864.188163,2315.670441,2034.556213,1753.84698
IDN,medium,6,3245.069497,2623.609584,2305.112629,1987.074527
IDN,medium,7,3393.816349,2743.870079,2410.773924,2078.157655
IDN,medium,8,3462.100205,2799.076964,2459.278888,2119.970353
IDN,medium,9,3471.123295,2806.372052,2465.688377,2125.49552